id,name,category,price,originalPrice,badge,shortDescription,description,thumbnail,image1,image2,image3,image4,colors,tags,featured,inStock,createdAt,detail_Material,detail_Fill,detail_Size,detail_Height,detail_Safe for,detail_Washable,detail_Made to order,detail_Stitch,detail_Blocking,detail_Diameter,detail_Thickness,detail_Quantity,detail_Length,detail_Width,detail_Weight,detail_Circumference,detail_Depth,detail_Stretch,detail_Flower,detail_Handle drop,detail_Weight capacity,detail_Dimensions,detail_Sole,detail_Closure,detail_Sizes,detail_Clip
batman-bouquet-001,Batman Bouquet,bouquets & flowers,799,999,,"A bold and quirky handmade crochet bouquet featuring Batman-inspired details, the perfect gift for every superhero fan.","Forget ordinary flowers, this Crochet Batman Bouquet is made for the superhero lover in your life! Featuring two adorable crochet Batman faces, a signature Batman-inspired emblem and hand-crocheted green stems, this bouquet is wrapped in sleek black paper with gold detailing and finished with a sheer ribbon.",images/thumbnails/batman-bouquet-001-thumb.jpg,images/products/batman-bouquet-001-main.jpg,images/products/batman-bouquet-001-side.jpg,,,Black-Yellow,bouquet|batman|custom-bouquet|gift,FALSE,TRUE,09/09/2026,"Premium acrylic yarn, floral stem",Polyester fiberfill,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
van-gogh-sunflower-001,Van Gogh Sunflower,bouquets & flowers,599,699,,A handmade crochet sunflower inspired by the iconic blue-and-yellow palette of Van Gogh's Sunflowers.,"Inspired by the timeless beauty of Van Gogh's sunflower paintings, this handmade crochet flower puts a playful twist on the classic sunflower. Featuring rich blue petals, a soft blue centre and a bright golden-yellow middle, it's a unique statement piece for anyone who loves art, flowers and handmade decor.",images/thumbnails/van-gogh-sunflower-001-thumb.jpg,images/products/van-gogh-sunflower-001-main.jpg,images/products/van-gogh-sunflower-001-side.jpg,,,Blue-Yellow,bouquet|van-gogh|custom-bouquet|gift,FALSE,TRUE,09/09/2026,"Premium acrylic yarn, floral stem",Polyester fiberfill,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
rose-desk-pot-001,Rose Desk Pot,bouquets & flowers,499,599,,"A cute handmade crochet rose in a mini pot, the perfect everlasting flower to add a cozy, charming touch to your desk or shelf.","Add a touch of handmade charm to your space with this Crochet Rose Desk Pot. Featuring a beautifully handcrafted red rose with delicate leaves, nestled in a cute crochet pot, this everlasting flower makes the perfect little decor piece for your desk, shelf or bedside table.",images/thumbnails/rose-desk-pot-001-thumb.jpg,images/products/rose-desk-pot-001-main.jpg,images/products/rose-desk-pot-001-side.jpg,,,Red-Beige,gift|homedecore|desk-decore|flower-pot,FALSE,TRUE,09/09/2026,"Premium acrylic yarn, floral stem",Polyester fiberfill,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
lavender-blossom-bouquet-001,Lavender Blossom Bouquet,bouquets & flowers,1999,2200,,"A dreamy handmade crochet bouquet featuring 2 delicate lilies, 4 pretty tulips and a leafy stem in soft lavender tones. Perfect for gifting and adding a touch of everlasting beauty to any space.","Bring a little everlasting spring into someone's life with our Lavender Blossom Crochet Bouquet. Handcrafted with love, this bouquet features 2 crochet lilies, 4 crochet tulips and 1 leafy stem, arranged in beautiful lavender, lilac, white and green tones. Wrapped in soft pastel packaging with a delicate ribbon, it makes a thoughtful alternative to traditional fresh flowers.",images/thumbnails/lavender-blossom-bouquet-001-thumb.jpg,images/products/lavender-blossom-bouquet-001-main.jpg,images/products/lavender-blossom-bouquet-001-side.jpg,,,White-Lavender-Pink-Green,gift|bouquet|tulip-lilies-bouquet|custom-bouquet,FALSE,TRUE,09/09/2026,"Premium acrylic yarn, floral stem",,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
sun-glow-claw-clip-001,Sun Glow Claw Clip,hair accessories,499,599,,A statement crochet sunflower hair claw made to turn a simple hairstyle into a whole vibe.,"Add a little sunshine to your everyday hairstyle with this handmade crochet sunflower hair claw. Featuring layered sunflower blooms, green leaves and delicate pearl accents, this piece combines a playful floral look with an elegant touch.Perfect for ponytails, buns or half-up hairstyles, it’s a beautiful accessory for everyday outfits, festive looks, picnics, vacations and special occasions.",images/thumbnails/sun-glow-claw-clip-001-thumb.jpg,images/products/sun-glow-claw-clip-001-main.jpg,images/products/sun-glow-claw-clip-001-side.jpg,,,Yellow,hair-clutcher|hair-clip|hair-accessory|gift,TRUE,TRUE,04/09/2026,Premium cotton yarn,,,,,Not washable,5-7 business days,,,,,,,,,,,,,,,,,,,
mikasa-red-scarf-001,Mikasa Red Scarf,wearables,1399,1599,,"A cozy, classic crochet scarf inspired by Mikasa's signature red scarf, made for anime lovers and everyday winter styling.","Wrap yourself in a little piece of Attack on Titan with our handmade Mikasa Crochet Scarf. Featuring a bold red colour, textured crochet pattern, and classic fringe detailing, this scarf is inspired by Mikasa's iconic look while keeping things cozy and wearable. Perfect for anime fans, winter outfits, gifting, or adding a subtle fandom touch to your wardrobe.",images/thumbnails/mikasa-red-scarf-001-thumb.jpg,images/products/mikasa-red-scarf-001-main.jpg,images/products/mikasa-red-scarf-001-side.jpg,,,Red,gift|scarf|winter-wear|wearable,FALSE,TRUE,12/09/2026,Premium acrylic yarn,,,,,Hand wash lay flat to dry,6-7 business days,,,,,,70-75 inches,5-7 inches,,,,,,,,,,,,
blush-scarf-001,Blush Scarf,wearables,1699,1899,,"A cozy cream crochet scarf adorned with delicate handmade pink roses for a soft, romantic winter look.","Add a little floral charm to your winter wardrobe with our Bloom & Blush Crochet Scarf. Handcrafted in a warm cream shade, this cozy scarf features delicate pink crochet roses with tiny green leaves scattered across the length, finished with playful fringe detailing.",images/thumbnails/blush-scarf-001-thumb.jpg,images/products/blush-scarf-001-main.jpg,images/products/blush-scarf-001-side.jpg,,,White-Pink,gift|scarf|winter-wear|wearable,FALSE,TRUE,12/09/2026,Premium acrylic yarn,,,,,Hand wash lay flat to dry,6-7 business days,,,,,,70-75 inches,5-7 inches,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
